index,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
65,피자샵,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",중동,35.16164179,129.1766794,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",중동%20피자샵,https://m.place.naver.com/restaurant/1709232475,피자,4.45,100,14,0
66,교촌치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,중동,35.16269044,129.1670463,닭 오리요리후라이드 양념치킨치킨 전문점,중동%20교촌치킨,https://m.place.naver.com/restaurant/11802032,"치킨,닭강정",4.34,676,14,0
67,이노시시,일식/수산물,음식점-일식,일식 음식점업,중동,35.1660336,129.169015,일식 수산물음식점-일식일식 음식점업,중동%20이노시시,https://m.place.naver.com/restaurant/30997428,이자카야,4.71,86,14,0
68,달맞이서울깍두기,한식,한식/백반/한정식,한식 음식점업,중동,35.15918247,129.18301,한식한식 백반 한정식한식 음식점업,중동%20달맞이서울깍두기,https://m.place.naver.com/restaurant/965096442,한식,3.95,91,14,0
69,덮밥사랑,한식,한식/백반/한정식,한식 음식점업,중동,35.15920596,129.1610146,한식한식 백반 한정식한식 음식점업,중동%20덮밥사랑,https://m.place.naver.com/restaurant/1857563193,일본식라면,4.45,233,145,0
70,스왈로,제과제빵떡케익,제과점,제과점업,중동,35.16497778,129.1635225,제과제빵떡케익제과점제과점업,중동%20스왈로,https://m.place.naver.com/restaurant/20601531,카페,4.41,38,145,0
71,무봤나촌닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,중동,35.16467136,129.1635182,닭 오리요리후라이드 양념치킨치킨 전문점,중동%20무봤나촌닭,https://m.place.naver.com/restaurant/1618229532,"치킨,닭강정",4.53,114,15,0
72,베이크하우스,제과제빵떡케익,제과점,제과점업,중동,35.15758799,129.1819881,제과제빵떡케익제과점제과점업,중동%20베이크하우스,https://m.place.naver.com/restaurant/1405907736,베이커리,4.73,151,15,0
73,해운대인생꼬치,유흥주점,꼬치구이전문점,기타 주점업,중동,35.1616456,129.1622787,유흥주점꼬치구이전문점기타 주점업,중동%20해운대인생꼬치,https://m.place.naver.com/restaurant/1844815309,닭요리,4.3,231,15,0
74,등대장어구이,일식/수산물,민물장어전문,한식 음식점업,중동,35.1614364,129.1939858,일식 수산물민물장어전문한식 음식점업,중동%20등대장어구이,https://m.place.naver.com/restaurant/19567004,"해물,생선요리",4.57,37,15,0
75,명랑시대쌀핫도그중동점,패스트푸드,핫도그,"피자, 햄버거, 샌드위치 및 유사 음식점업",중동,35.16311707,129.1620471,"패스트푸드핫도그피자, 햄버거, 샌드위치 및 유사 음식점업",중동%20명랑시대쌀핫도그중동점,https://m.place.naver.com/restaurant/1177668214,핫도그,4.47,643,15,0
76,강촌,한식,한식/백반/한정식,한식 음식점업,중동,35.1694817,129.1694485,한식한식 백반 한정식한식 음식점업,중동%20강촌,https://m.place.naver.com/restaurant/1495147725,닭갈비,4.54,91,15,0
77,갈맷길돼지국밥,한식,해장국/감자탕,한식 음식점업,중동,35.16180215,129.1722253,한식해장국 감자탕한식 음식점업,중동%20갈맷길돼지국밥,https://m.place.naver.com/restaurant/36620747,국밥,4.37,517,150,0
78,해운대소문난삼계탕,한식,한식/백반/한정식,한식 음식점업,중동,35.16262887,129.1650148,한식한식 백반 한정식한식 음식점업,중동%20해운대소문난삼계탕,https://m.place.naver.com/restaurant/16577597,"백숙,삼계탕",4.42,314,153,14
79,해운대삼계탕,닭/오리요리,삼계탕전문,한식 음식점업,중동,35.16185689,129.1656184,닭 오리요리삼계탕전문한식 음식점업,중동%20해운대삼계탕,https://m.place.naver.com/restaurant/16577597,"백숙,삼계탕",4.42,314,153,0
80,미스공떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,중동,35.16068757,129.1616065,분식떡볶이전문분식 및 김밥 전문점,중동%20미스공떡볶이,https://m.place.naver.com/restaurant/692709539,떡볶이,4,824,155,0
81,가마솥,한식,한식/백반/한정식,한식 음식점업,중동,35.16888379,129.1716244,한식한식 백반 한정식한식 음식점업,중동%20가마솥,https://m.place.naver.com/restaurant/17009719,돼지고기구이,4.31,249,158,0
82,한솥도시락중동해운대구청점,패스트푸드,도시락전문점,한식 음식점업,중동,35.16290231,129.1628234,패스트푸드도시락전문점한식 음식점업,중동%20한솥도시락중동해운대구청점,https://m.place.naver.com/restaurant/41266273,"도시락,컵밥",4.27,267,16,0
83,25시회센터,일식/수산물,횟집,한식 음식점업,중동,35.15778732,129.1726068,일식 수산물횟집한식 음식점업,중동%2025시회센터,https://m.place.naver.com/restaurant/1665097076,생선회,4.4,39,16,0
84,설빙,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16264912,129.1907436,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20설빙,https://m.place.naver.com/restaurant/1978653765,빙수,4.23,682,16,0
85,소문난칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,중동,35.16464503,129.169061,분식국수 만두 칼국수분식 및 김밥 전문점,중동%20소문난칼국수,https://m.place.naver.com/restaurant/19916371,"칼국수,만두",4.52,72,16,0
86,소문난칼국수집,분식,국수/만두/칼국수,분식 및 김밥 전문점,중동,35.16464503,129.169061,분식국수 만두 칼국수분식 및 김밥 전문점,중동%20소문난칼국수집,https://m.place.naver.com/restaurant/19916371,"칼국수,만두",4.52,72,16,0
87,청풍설렁탕,한식,설렁탕집,한식 음식점업,중동,35.16181657,129.1651239,한식설렁탕집한식 음식점업,중동%20청풍설렁탕,https://m.place.naver.com/restaurant/1297837513,"곰탕,설렁탕",4.32,795,160,2
